,total_energy_relative_loss,total_energy_relative_loss,total_energy_relative_loss,total_energy_relative_loss,trajectory_length,trajectory_length,trajectory_length,trajectory_length,q1_dominant_frequency,q1_dominant_frequency,q1_dominant_frequency,q1_dominant_frequency,q2_dominant_frequency,q2_dominant_frequency,q2_dominant_frequency,q2_dominant_frequency,q1_decay_rate,q1_decay_rate,q1_decay_rate,q1_decay_rate,q2_decay_rate,q2_decay_rate,q2_decay_rate,q2_decay_rate,q1_velocity_max_abs,q1_velocity_max_abs,q1_velocity_max_abs,q1_velocity_max_abs,q2_velocity_max_abs,q2_velocity_max_abs,q2_velocity_max_abs,q2_velocity_max_abs,q1_acceleration_max_abs,q1_acceleration_max_abs,q1_acceleration_max_abs,q1_acceleration_max_abs,q2_acceleration_max_abs,q2_acceleration_max_abs,q2_acceleration_max_abs,q2_acceleration_max_abs
,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count
weight_mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.2222629811055767,,-0.2222629811055767,1,80.16766858362587,,80.16766858362587,1,0.4666666666666142,,0.4666666666666142,1,0.0666666666666591,,0.0666666666666591,1,-0.0080958566927511,,-0.0080958566927511,1,-0.2013844161213719,,-0.2013844161213719,1,8.171813118586943,,8.171813118586943,1,20.703235657582777,,20.703235657582777,1,69.65655648771991,,69.65655648771991,1,169.17279637886438,,169.17279637886438,1
0.01,-0.1417451870905579,,-0.1417451870905579,1,73.54208097993819,,73.54208097993819,1,0.3999999999999551,,0.3999999999999551,1,0.0666666666666591,,0.0666666666666591,1,0.0218033629547078,,0.0218033629547078,1,-0.1736765158778404,,-0.1736765158778404,1,8.197382703319567,,8.197382703319567,1,20.321170315787583,,20.321170315787583,1,69.15905120843632,,69.15905120843632,1,165.255100286157,,165.255100286157,1
0.02,-0.1306127828409827,,-0.1306127828409827,1,71.75578909644032,,71.75578909644032,1,0.3999999999999551,,0.3999999999999551,1,0.0666666666666591,,0.0666666666666591,1,0.0370660221761763,,0.0370660221761763,1,-0.1629024267628011,,-0.1629024267628011,1,8.225900115054337,,8.225900115054337,1,20.149998683307,,20.149998683307,1,69.08391921898489,,69.08391921898489,1,163.6750654384104,,163.6750654384104,1
0.03,-0.1311957694049989,,-0.1311957694049989,1,72.56677583084188,,72.56677583084188,1,0.3999999999999551,,0.3999999999999551,1,0.0666666666666591,,0.0666666666666591,1,0.0335621978414754,,0.0335621978414754,1,-0.1624147310155052,,-0.1624147310155052,1,8.256944832147987,,8.256944832147987,1,20.16569921415488,,20.16569921415488,1,69.6387839418409,,69.6387839418409,1,164.4362517995658,,164.4362517995658,1
0.04,-0.188939606392589,,-0.188939606392589,1,78.04493891728741,,78.04493891728741,1,0.3999999999999551,,0.3999999999999551,1,0.0666666666666591,,0.0666666666666591,1,-0.0522716672210165,,-0.0522716672210165,1,-0.0371356554737397,,-0.0371356554737397,1,8.290493181386799,,8.290493181386799,1,20.698813851201407,,20.698813851201407,1,70.71593103329779,,70.71593103329779,1,167.30711936346674,,167.30711936346674,1
0.05,-0.217372861090366,,-0.217372861090366,1,70.65485558440034,,70.65485558440034,1,0.4666666666666142,,0.4666666666666142,1,0.0666666666666591,,0.0666666666666591,1,-0.0584446660651108,,-0.0584446660651108,1,-0.2882636217355815,,-0.2882636217355815,1,8.326471996713746,,8.326471996713746,1,21.03233272346157,,21.03233272346157,1,72.15628123213277,,72.15628123213277,1,173.58528137480724,,173.58528137480724,1
0.06,-0.2163726392034692,,-0.2163726392034692,1,73.08896135339782,,73.08896135339782,1,0.5333333333332735,,0.5333333333332735,1,0.0666666666666591,,0.0666666666666591,1,-0.0347053846491849,,-0.0347053846491849,1,-0.233072583816701,,-0.233072583816701,1,8.364769979123285,,8.364769979123285,1,21.054232561823103,,21.054232561823103,1,73.41508182116144,,73.41508182116144,1,177.18779496482156,,177.18779496482156,1
0.07,-0.2321634131862173,,-0.2321634131862173,1,80.0475653934491,,80.0475653934491,1,0.5333333333332735,,0.5333333333332735,1,0.0666666666666591,,0.0666666666666591,1,-0.0098082604804189,,-0.0098082604804189,1,-0.3486172606286669,,-0.3486172606286669,1,8.405245949651604,,8.405245949651604,1,21.36920176975823,,21.36920176975823,1,75.53599611649689,,75.53599611649689,1,180.8277118088639,,180.8277118088639,1
