DV,Plot,Series,X,Y
total_energy_relative_loss,Mass vs DV,Observed,0.0,-0.2222629811055767
total_energy_relative_loss,Mass vs DV,Observed,0.01,-0.1417451870905579
total_energy_relative_loss,Mass vs DV,Observed,0.02,-0.1306127828409827
total_energy_relative_loss,Mass vs DV,Observed,0.03,-0.1311957694049989
total_energy_relative_loss,Mass vs DV,Observed,0.04,-0.188939606392589
total_energy_relative_loss,Mass vs DV,Observed,0.05,-0.217372861090366
total_energy_relative_loss,Mass vs DV,Observed,0.06,-0.2163726392034692
total_energy_relative_loss,Mass vs DV,Observed,0.07,-0.2321634131862173
total_energy_relative_loss,Mass vs DV,Observed,0.08,-0.2262152142845022
total_energy_relative_loss,Mass vs DV,Observed,0.09,-0.1871995130402213
total_energy_relative_loss,Mass vs DV,Observed,0.1,-0.1908283534271341
total_energy_relative_loss,Mass vs DV,Observed,0.11,-0.1980905399994239
total_energy_relative_loss,Mass vs DV,Observed,0.12,-0.1980793096951153
total_energy_relative_loss,Mass vs DV,Observed,0.13,-0.1522823959806321
total_energy_relative_loss,Mass vs DV,Observed,0.14,-0.1206288654455068
total_energy_relative_loss,Mass vs DV,Observed,0.15,-0.1179063635655897
total_energy_relative_loss,Mass vs DV,Observed,0.16,-0.1630287574982503
total_energy_relative_loss,Mass vs DV,Observed,0.17,-0.181341139275265
total_energy_relative_loss,Mass vs DV,Observed,0.18,-0.1715351766919876
total_energy_relative_loss,Mass vs DV,Observed,0.19,-0.2040519397564023
total_energy_relative_loss,Mass vs DV,Observed,0.2,-0.1676008071118317
total_energy_relative_loss,Mass vs DV,Observed,0.21,-0.2117510039455693
total_energy_relative_loss,Mass vs DV,Observed,0.22,-0.1851170461881332
total_energy_relative_loss,Mass vs DV,Observed,0.23,-0.1851497609250833
total_energy_relative_loss,Mass vs DV,Observed,0.24,-0.201104571339947
total_energy_relative_loss,Mass vs DV,Observed,0.25,-0.1605636574399513
total_energy_relative_loss,Mass vs DV,Observed,0.26,-0.1779327269078759
total_energy_relative_loss,Mass vs DV,Observed,0.27,-0.2071495351924605
total_energy_relative_loss,Mass vs DV,Observed,0.28,-0.1548452394234709
total_energy_relative_loss,Mass vs DV,Observed,0.29,-0.1501173351846861
total_energy_relative_loss,Mass vs DV,Observed,0.3,-0.1425949728375922
total_energy_relative_loss,Mass vs DV,Observed,0.31,-0.162551064417022
total_energy_relative_loss,Mass vs DV,Observed,0.32,-0.1294484467015124
total_energy_relative_loss,Mass vs DV,Observed,0.33,-0.1589752275692617
total_energy_relative_loss,Mass vs DV,Observed,0.34,-0.144284015413166
total_energy_relative_loss,Mass vs DV,Observed,0.35,-0.1528349680522927
total_energy_relative_loss,Mass vs DV,Observed,0.36,-0.1413762525929002
total_energy_relative_loss,Mass vs DV,Observed,0.37,-0.1718850416339755
total_energy_relative_loss,Mass vs DV,Observed,0.38,-0.1203126267988129
total_energy_relative_loss,Mass vs DV,Observed,0.39,-0.1548467379196201
total_energy_relative_loss,Mass vs DV,Observed,0.4,-0.158462636282585
total_energy_relative_loss,Mass vs DV,Observed,0.41,-0.1551454847563184
total_energy_relative_loss,Mass vs DV,Observed,0.42,-0.1248133469319916
total_energy_relative_loss,Mass vs DV,Observed,0.43,-0.1630525226863601
total_energy_relative_loss,Mass vs DV,Observed,0.44,-0.1726312989697755
total_energy_relative_loss,Mass vs DV,Observed,0.45,-0.1783805518016524
total_energy_relative_loss,Mass vs DV,Observed,0.46,-0.1318832215638725
total_energy_relative_loss,Mass vs DV,Observed,0.47,-0.1356665389247923
total_energy_relative_loss,Mass vs DV,Observed,0.48,-0.1419687783843857
total_energy_relative_loss,Mass vs DV,Observed,0.49,-0.1598511977211014
total_energy_relative_loss,Mass vs DV,Observed,0.5,-0.1105782971243484
total_energy_relative_loss,Mass vs DV,Observed,0.51,-0.1180437910640916
total_energy_relative_loss,Mass vs DV,Observed,0.52,-0.1591093702579027
total_energy_relative_loss,Mass vs DV,Observed,0.53,-0.1427520594987907
total_energy_relative_loss,Mass vs DV,Observed,0.54,-0.1647893773889418
total_energy_relative_loss,Mass vs DV,Observed,0.55,-0.1621444967989825
total_energy_relative_loss,Mass vs DV,Observed,0.56,-0.140923302102237
total_energy_relative_loss,Mass vs DV,Observed,0.5700000000000001,-0.111278723318308
total_energy_relative_loss,Mass vs DV,Observed,0.58,-0.1281212962634058
total_energy_relative_loss,Mass vs DV,Observed,0.59,-0.1176667579331539
total_energy_relative_loss,Mass vs DV,Observed,0.6,-0.1298424636829852
total_energy_relative_loss,Mass vs DV,Observed,0.61,-0.1062236921326469
total_energy_relative_loss,Mass vs DV,Observed,0.62,-0.1358776863115499
total_energy_relative_loss,Mass vs DV,Observed,0.63,-0.153233495511804
total_energy_relative_loss,Mass vs DV,Observed,0.64,-0.1384394130574359
